chave,registrado_em,league,date,home,away,p_v,p_e,p_d,lambda_a,lambda_b,p_over25,p_btts,versao,home_score,away_score,brier
2026-07-17|Bahia|Chapecoense-SC|BRA,2026-07-17,BRA,2026-07-17,Bahia,Chapecoense-SC,0.747547,0.186404,0.066050,2.1324,0.6067,0.515877,0.400911,scb-v0.3-mando-e0,2,0,0.102842
2026-07-17|Fluminense|Bragantino|BRA,2026-07-17,BRA,2026-07-17,Fluminense,Bragantino,0.500352,0.265082,0.234566,1.5091,1.0033,0.459366,0.493296,scb-v0.3-mando-e0,1,1,0.845478
2026-07-21|Atletico-MG|Bahia|BRA,2026-07-17,BRA,2026-07-21,Atletico-MG,Bahia,0.489012,0.266516,0.244472,1.4842,1.0191,0.457046,0.494223,scb-v0.3-mando-e0,,,
2026-07-17|Mirassol|Gremio|BRA,2026-07-17,BRA,2026-07-17,Mirassol,Gremio,0.486143,0.266603,0.247254,1.4781,1.0230,0.456476,0.494417,scb-v0.3-mando-e0,2,1,0.396261
2026-07-22|Coritiba|Palmeiras|BRA,2026-07-18,BRA,2026-07-22,Coritiba,Palmeiras,0.229519,0.264357,0.506124,0.9952,1.5218,0.460545,0.492738,scb-v0.3-mando-e0,,,
2026-07-22|Chapecoense-SC|Flamengo RJ|BRA,2026-07-18,BRA,2026-07-22,Chapecoense-SC,Flamengo RJ,0.090710,0.205227,0.704064,0.6878,2.0049,0.504571,0.430348,scb-v0.3-mando-e0,,,
2026-07-22|Internacional|Cruzeiro|BRA,2026-07-18,BRA,2026-07-22,Internacional,Cruzeiro,0.402218,0.276856,0.320926,1.2923,1.1413,0.439036,0.493671,scb-v0.3-mando-e0,,,
2026-07-22|Sao Paulo|Athletico-PR|BRA,2026-07-18,BRA,2026-07-22,Sao Paulo,Athletico-PR,0.434503,0.274798,0.290699,1.3632,1.0961,0.445719,0.495494,scb-v0.3-mando-e0,,,
2026-07-23|Corinthians|Remo|BRA,2026-07-19,BRA,2026-07-23,Corinthians,Remo,0.552378,0.247882,0.199741,1.6373,0.9217,0.471230,0.485044,scb-v0.4-sot-goals-e0,,,
2026-07-23|Botafogo RJ|Vitoria|BRA,2026-07-21,BRA,2026-07-23,Botafogo RJ,Vitoria,0.549811,0.254640,0.195549,1.6205,0.9324,0.469683,0.486452,scb-v0.4-sot-goals-e0,,,
2026-07-25|Athletico-PR|Internacional|BRA,2026-07-21,BRA,2026-07-25,Athletico-PR,Internacional,0.539237,0.257218,0.203545,1.5964,0.9478,0.467457,0.488303,scb-v0.4-sot-goals-e0,,,
2026-07-25|Santos|Chapecoense-SC|BRA,2026-07-21,BRA,2026-07-25,Santos,Chapecoense-SC,0.720876,0.198307,0.080817,2.0532,0.6570,0.508878,0.419809,scb-v0.4-sot-goals-e0,,,
2026-07-25|Vasco|Mirassol|BRA,2026-07-21,BRA,2026-07-25,Vasco,Mirassol,0.418246,0.274906,0.306848,1.3277,1.1187,0.442376,0.494823,scb-v0.4-sot-goals-e0,,,
